Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2019-05-15,4735.7255859375,4818.123741736778,4722.715350811298,4818.123741736778,72065000
2019-05-16,4579.6015625,4753.071318655303,4579.6015625,4735.724343039773,87939000
2019-05-17,4492.8671875,4605.622541626448,4492.8671875,4579.602075289576,74207000
2019-05-20,4666.33740234375,4675.010891939184,4458.173652053322,4492.867610435061,54764500
2019-05-21,4735.7255859375,4766.082801231971,4683.684645432692,4744.399076021635,97371000
2019-05-22,4735.7255859375,4796.440016526442,4683.684645432692,4796.440016526442,38519000
2019-05-23,4861.490234375,4861.490234375,4631.642792428635,4718.37767618198,54926000
2019-05-24,4865.828125,4883.1751058377895,4861.491379790552,4865.828125,37402000
2019-05-27,4930.87841796875,4943.888651261544,4796.439340609883,4800.776085040815,68564000
2019-05-28,4974.2470703125,5004.604288701504,4904.859142566205,4904.859142566205,209923000
2019-05-29,4978.58349609375,5113.022597469104,4969.910005682436,5030.624438561628,133044500
2019-05-30,4978.58349609375,4978.58349609375,4978.58349609375,4978.58349609375,0
2019-05-31,5047.97119140625,5091.338641504241,4974.246526239664,4978.583271249463,96875000
2019-06-03,5047.97119140625,5047.97119140625,5047.97119140625,5047.97119140625,0
2019-06-04,5047.97119140625,5047.97119140625,5047.97119140625,5047.97119140625,0
2019-06-05,5047.97119140625,5047.97119140625,5047.97119140625,5047.97119140625,0
2019-06-06,5047.97119140625,5047.97119140625,5047.97119140625,5047.97119140625,0
2019-06-07,5047.97119140625,5047.97119140625,5047.97119140625,5047.97119140625,0
2019-06-10,5100.0126953125,5368.890915643601,5039.298258463542,5204.094587053572,179238000
2019-06-11,5126.0322265625,5169.399673487733,5069.654545559697,5117.358737177454,72901000
2019-06-12,5069.654296875,5117.358486152694,5047.970574476048,5065.3175523952095,69255500
2019-06-13,5034.9609375,5104.348857396641,5021.95070251938,5104.348857396641,78802500
2019-06-14,5030.62353515625,5069.65423499798,5021.950046302532,5069.65423499798,57220500
2019-06-17,5026.2880859375,5065.318795836928,5021.951340393119,5039.298322570643,83624000
2019-06-18,5117.3583984375,5117.3583984375,5026.286765922934,5026.286765922934,78788000
2019-06-19,5152.052734375,5169.399713278619,5108.685287115951,5117.35877656776,66944500
2019-06-20,5126.0322265625,5152.0526947176395,5034.960588019511,5117.358737177454,59504500
2019-06-21,5100.0126953125,5147.716895693824,5065.318731398809,5126.033168247768,144149000
2019-06-24,5095.6748046875,5117.358527260638,5087.0013156582445,5113.021782746011,30084000
2019-06-25,5126.0322265625,5169.399673487733,5095.675013714837,5143.379205332593,40561500
2019-06-26,5087.00146484375,5152.052634470908,5082.664720201939,5152.052634470908,59334500
2019-06-27,5147.7158203125,5147.7158203125,5034.9604611481145,5073.991162397325,77525000
2019-06-28,5199.75634765625,5199.75634765625,5169.399137953503,5186.746114926501,80919000
2019-07-01,5195.41943359375,5225.776642304231,5173.735713086264,5199.756177695248,56612500
2019-07-02,5204.09423828125,5204.09423828125,5160.726786295573,5195.4207478841145,48563500
2019-07-03,5204.09423828125,5204.09423828125,5152.053295898438,5160.726786295573,43640000
2019-07-04,5195.41943359375,5212.766409999739,5173.735713086264,5204.092921796745,28224500
2019-07-05,5178.0732421875,5221.4406897770095,5178.0732421875,5221.4406897770095,32722500
2019-07-08,5100.0126953125,5169.400623139881,5087.002458844866,5147.716895693824,38361000
2019-07-09,5204.09423828125,5204.09423828125,5091.33886311849,5091.33886311849,47740500
2019-07-10,5204.09423828125,5238.788199869792,5199.757493082682,5204.09423828125,52183500
2019-07-11,5225.77734375,5225.77734375,5186.7466415975105,5221.44059906639,34279500
2019-07-12,5212.76708984375,5230.114068512115,5199.756855842476,5204.093600509567,29838000
2019-07-15,5295.166015625,5303.839506232085,5234.45158137541,5256.135307893121,61453500
2019-07-16,5277.818359375,5295.165338370481,5264.808125128389,5273.48161462613,38075000
2019-07-17,5334.1953125,5334.1953125,5243.123685213414,5273.480894308943,45487000
2019-07-18,5329.8603515625,5351.544079599776,5251.798930628305,5290.829641095403,43625500
2019-07-19,5377.56298828125,5386.236476972026,5334.195544827369,5373.226243935862,43973500
2019-07-22,5455.62451171875,5455.62451171875,5377.563111710056,5429.6040450491855,37314500
2019-07-23,5407.92041015625,5455.624599820821,5381.899943066484,5412.257154671211,39129500
2019-07-24,5420.9306640625,5433.94089765625,5347.20600703125,5429.604153125,51343500
2019-07-25,5420.9306640625,5442.61438671875,5377.5632187500005,5438.2776421875005,53477500
